2025-10-02 21:18:22 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-02 21:18:22 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-02 21:18:41 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-02 21:22:45 | Amadon | INFO     | info:76 | Usando configuração avançada de logging
2025-10-02 21:22:45 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-02 21:22:45 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-02 21:22:45 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-02 21:22:45 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-02 21:23:48 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-02 21:24:37 | Amadon | INFO     | info:76 | Usando configuração avançada de logging
2025-10-02 21:24:37 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-02 21:24:37 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-02 21:24:37 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-02 21:24:37 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-02 21:24:42 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-02 21:27:15 | Amadon | INFO     | info:76 | Usando configuração avançada de logging
2025-10-02 21:27:15 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-02 21:27:15 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-02 21:27:15 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-02 21:27:15 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-02 21:27:24 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-02 21:27:32 | Amadon | INFO     | info:76 | Usando configuração avançada de logging
2025-10-02 21:27:32 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-02 21:27:32 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-02 21:27:32 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-02 21:27:32 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
